Date,Close,Close.1,High,High.1,Low,Low.1,Open,Open.1,Volume,Volume.1
2014-01-02,17.215375900268555,30.996423721313477,17.336758079651304,31.196617309853046,17.180829201609296,30.9463745286863,17.29474155498287,31.15490805834583,234684800.0,30632200.0
2014-01-03,16.83721923828125,30.78787612915039,17.233109896093442,31.046458733328308,16.820100477848595,30.529293524972477,17.206967176986268,31.02977567673931,392467600.0,31134800.0
2014-01-06,16.929027557373047,30.13726043701172,17.01835125639301,30.771200837526983,16.6075210819467,30.120577376212832,16.727347380581755,30.73783471592921,412610800.0,43603700.0
2014-01-07,16.807968139648438,30.37081527709961,16.992218846115918,30.43754751667594,16.74198634419757,30.203987860127103,16.941176701448818,30.304086219491598,317209200.0,35802800.0
2014-01-08,16.91440773010254,29.828632354736328,16.979766197700926,30.145604186035076,16.765948716038363,29.67849115250944,16.769681965910593,30.028825927653667,258529600.0,59971700.0
2014-01-09,16.69840431213379,29.63676643371582,17.020221654481514,29.95373809955376,16.66198934644905,29.528331354376107,17.018353367945558,29.928715109239555,279148800.0,36516300.0
2014-01-10,16.58698272705078,30.06219482421875,16.831613584331183,30.153950087680656,16.530026579909144,29.82029516272266,16.80142346874916,29.945416555074203,304976000.0,40548800.0
2014-01-13,16.67382049560547,29.178009033203125,16.88452635571707,30.045509219163858,16.491747295504773,29.0528908334006,16.492681438946438,30.020486215597135,378492800.0,45901900.0
2014-01-14,17.00559425354004,29.845308303833008,17.016175669834904,29.928723598486396,16.733884891922653,28.886056280080066,16.751314475847874,28.969468392765318,332561600.0,41623300.0
2014-01-15,17.347023010253906,30.662757873535156,17.435414260321032,30.687784051914534,17.169618855910677,29.90369622336619,17.22750915748911,29.945405460009148,391638800.0,44812600.0
2014-01-16,17.250225067138672,30.77119255065918,17.331146473050836,30.86294776935858,17.17023614230277,30.287396645654567,17.270455418616713,30.604365169566417,229278000.0,38018700.0
2014-01-17,16.82757568359375,30.34579086303711,17.182384089340825,30.72115173822785,16.8036104086286,30.153940456154768,17.164022014674433,30.72115173822785,426739600.0,46267500.0
2014-01-21,17.089012145996094,30.170629501342773,17.12013475275014,30.7128179504823,16.819792621816465,30.078877421275763,16.83753303956299,30.7128179504823,328526800.0,31567300.0
2014-01-22,17.164955139160156,29.97044563293457,17.344847611045257,30.295757500595546,17.049797827725193,29.820301204480298,17.14628057623566,30.245708297120846,379985200.0,21904300.0
2014-01-23,17.3102970123291,30.078872680664062,17.32025677697597,30.13726180512656,16.956422851149398,29.62843956455166,17.11608658824622,30.103895682014095,403239200.0,43954000.0
2014-01-24,16.995637893676758,30.70448112487793,17.292866712279512,31.3217386525304,16.954553866199788,30.47092138455018,17.242446236918973,31.238326505108,429354800.0,76395500.0
2014-01-27,17.13351821899414,30.0538387298584,17.267350092109467,30.771194281531002,16.985682501537358,30.012132677731163,17.12013602898903,30.754511224286542,554878800.0,44420800.0
2014-01-28,15.764082908630371,30.254037857055664,16.02863172408451,30.354133037155695,15.626203639032006,29.82028783399767,15.834421265631418,30.128916495454327,1065523200.0,36205500.0
2014-01-29,15.585116386413574,30.579355239868164,15.791154834073705,30.762865755664315,15.518823789722552,29.945414739251714,15.68471235715623,30.012143811015502,502810000.0,52745900.0
2014-01-30,15.554926872253418,30.746183395385742,15.764078585135582,30.762866459200474,15.459067471207344,30.220678022113447,15.640828171798441,30.687794263018716,678501600.0,35036300.0
2014-01-31,15.580450057983398,31.56363296508789,15.609395209571034,31.605339031703895,15.361029386639627,30.495942386267316,15.411760693151985,30.82125416062865,464797200.0,93162300.0
2014-02-03,15.609392166137695,30.42919921875,15.802359251705907,31.688742979733235,15.539987975894523,30.387493167094508,15.643006366575671,31.48020953948799,401464000.0,64063100.0
2014-02-04,15.835351943969727,30.320756912231445,15.856205618059363,31.021429305683878,15.647677188048563,30.237344819997702,15.743849093767704,30.837922066376176,376681200.0,54697900.0
2014-02-05,15.953619003295898,29.878686904907227,16.03734118409981,30.420875409790266,15.756295352400395,29.86200383900642,15.765944288443729,30.270730998652486,328344800.0,55814400.0
2014-02-06,16.046613693237305,30.178958892822266,16.07761157733137,30.23734799991987,15.899456514060347,29.77023196117136,15.969904882534138,29.86198718145836,257765200.0,35351800.0
2014-02-07,16.271100997924805,30.495927810668945,16.372858240657916,30.520950802284972,16.19908920899137,30.037151751259188,16.324328120604623,30.29573433183856,370280400.0,33260500.0
2014-02-10,16.562597274780273,30.69611930847168,16.656527301340653,30.69611930847168,16.218502094524734,30.270712524518878,16.239166232172636,30.55431810780992,345559200.0,26767000.0
